order_id,bad_review,review_score,order_status,product_category,seller_state,customer_state,delivery_time_days,delivery_delay_days,seller_prior_bad_review_rate,category_prior_bad_review_rate,risk_score,risk_band,top_risk_reason,recommended_action
ebdc1743a498b33e5f50d4270c117175,1,1,processing,watches_gifts,RJ,RJ,,,0.9166666666666666,0.1343910405972935,0.9834926425782741,critical,seller has elevated prior bad-review rate,Immediate support review and proactive customer follow-up
6f91e4738284a9312089fd89f0d61648,1,1,processing,watches_gifts,RJ,RJ,,,1.0,0.1314258001939864,0.9827741618002044,critical,seller has elevated prior bad-review rate,Immediate support review and proactive customer follow-up
9662b2b232add4b9dca5f9f755680cbd,1,1,processing,watches_gifts,RJ,RJ,,,1.0,0.1334586466165413,0.9826462157845685,critical,seller has elevated prior bad-review rate,Immediate support review and proactive customer follow-up
1aaa4f61529fb2b392016a694b437885,1,1,processing,perfumery,SP,SP,,,0.6,0.1285801340645947,0.9820372266045493,critical,seller has elevated prior bad-review rate; seller has elevated prior late-delivery rate,Immediate support review and proactive customer follow-up
f33b79c24a554aeeed434f1072a17755,1,1,processing,watches_gifts,RJ,SP,,,1.0,0.1311869293608842,0.9817535872611238,critical,seller has elevated prior bad-review rate,Immediate support review and proactive customer follow-up
e809c167a9cfd31aee1293abe8995065,1,1,processing,watches_gifts,RJ,MG,,,1.0,0.1338324754328498,0.9815501607660433,critical,seller has elevated prior bad-review rate,Immediate support review and proactive customer follow-up
520a772c685704aec515546f7a098ea9,1,1,processing,watches_gifts,RJ,SP,,,1.0,0.1314760508308895,0.981495314310882,critical,seller has elevated prior bad-review rate,Immediate support review and proactive customer follow-up
e9e64a17afa9653aacf2616d94c005b8,1,1,processing,watches_gifts,RJ,SP,,,0.9375,0.135624709707385,0.981486515574705,critical,seller has elevated prior bad-review rate,Immediate support review and proactive customer follow-up
304137040eac6e7582eb945e3f347120,1,1,processing,watches_gifts,RJ,SP,,,0.9230769230769232,0.1346064275733581,0.9812364825996638,critical,seller has elevated prior bad-review rate,Immediate support review and proactive customer follow-up
9e01038648e0a5eec4646fa5fd32b322,0,5,processing,watches_gifts,RJ,SP,,,1.0,0.1345165810368986,0.9810123647547553,critical,seller has elevated prior bad-review rate,Immediate support review and proactive customer follow-up
c086b991f822021af445dbcd355fcf73,1,1,processing,watches_gifts,RJ,SP,,,0.9333333333333332,0.1353488372093023,0.9807005223624915,critical,seller has elevated prior bad-review rate,Immediate support review and proactive customer follow-up
86f54473ab658e573e101bb266ced50e,1,1,processing,watches_gifts,RJ,SP,,,0.9285714285714286,0.1349464867380176,0.9805545709837185,critical,seller has elevated prior bad-review rate,Immediate support review and proactive customer follow-up
1927dede91841ae67045915ce6fd11f1,1,1,delivered,computers_accessories,PR,RJ,41.88174768518518,19.5790625,0.3733333333333333,0.1666242686339354,0.9804326242736501,critical,delivery delayed by 19.6 days; seller has elevated prior bad-review rate; seller has elevated prior late-delivery rate,Immediate support review and proactive customer follow-up
